results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
results/phi_p2a,7.030569362229102e-12,0.0002310348145128202,0.5042124211373311,6.375e-08,-2.5000000000000034e-09,1.25e-09,7.040800952606734e-14
results/phi_p3a,8.79998766652752e-12,0.00037346099137751154,0.7125,6.875e-08,-3.25e-08,1.25e-09,7.769452711630125e-14
results/phi_p4a,8.550931542824097e-12,0.0004088712021260113,0.8625,3.75e-08,3.3749999999999995e-08,1.25e-09,9.36177887782653e-14
results/phi_p5a,8.32665934286351e-12,0.00040701718066291916,0.7125,6.375000000000002e-08,-3.249999999999999e-08,1.25e-09,7.757834781318076e-14
